captcha_type,captcha_text,user_input,success,typing_time,accuracy,ai_result,generation_strategy,p_distort,p_noise,p_rotate,Target
image (semantic),U6ZU1,U6ZU1,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.91,25,1.0
image (adversarial),CDZ6X,O7D83,0,6.73,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.97,25,0.0
image (adversarial),5KUC9,5KUC9,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (adversarial),F9AIZ,F9AIZ,1,8.68,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.84,25,1.0
image (question),FK84R,FK84R,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (semantic),UO4UW,92JN6,0,7.95,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,0.0
image (question),7LM8E,7LM8E,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.97,25,1.0
image (semantic),TE92S,TE92S,1,8.78,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.9,25,1.0
image (semantic),IMZ93,IMZ93,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.84,25,1.0
image (question),BWRP8,BWRP8,1,7.55,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.83,25,1.0
image (semantic),6RZCM,6RZCM,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.99,25,1.0
image (semantic),80ZRZ,80ZRZ,1,6.16,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),TYLU5,9V58B,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.99,25,0.0
image (adversarial),1V1CC,V1GGX,0,4.74,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,0.0
image (semantic),RED8U,NR4GL,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.99,25,0.0
image (semantic),GPJDJ,M1SAV,0,7.43,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.84,25,0.0
image (adversarial),9CNG8,9CNG8,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.91,25,1.0
image (question),L2UNC,HM56V,0,4.27,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.83,25,0.0
image (semantic),U6Z5G,U6Z5G,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.83,25,1.0
image (semantic),BT873,BT873,1,7.78,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,1.0
image (semantic),VGDGF,7TNQE,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.92,25,0.0
image (semantic),TMNI3,TMNI3,1,3.41,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.84,25,1.0
image (question),9R4X1,9R4X1,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.92,25,1.0
image (question),X6UZS,X6UZS,1,5.24,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,1.0
image (adversarial),QH7PP,QH7PP,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.82,25,1.0
image (question),LRNR2,B8LV6,0,6.69,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,0.0
image (adversarial),TX0TB,TX0TB,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.86,25,1.0
image (question),T3YPS,T3YPS,1,7.89,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.97,25,1.0
image (adversarial),6D86Z,6D86Z,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.81,25,1.0
image (semantic),UWBN6,UWBN6,1,4.68,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.82,25,1.0
image (semantic),33993,33993,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.87,25,1.0
image (question),FIY5P,FIY5P,1,9.58,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,1.0
image (adversarial),X6OA3,RVWOZ,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.88,25,0.0
image (semantic),QXIWE,QXIWE,1,6.76,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,1.0
image (semantic),G08ZZ,G08ZZ,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.86,25,1.0
image (question),UDE35,SBREB,0,4.41,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,0.0
image (question),NDYCP,NDYCP,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.87,25,1.0
image (semantic),VB71G,VB71G,1,3.1,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.84,25,1.0
image (adversarial),F4JGQ,F4JGQ,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.98,25,1.0
image (semantic),FKCGG,FKCGG,1,6.08,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.93,25,1.0
image (adversarial),4VKFT,OTWG7,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.86,25,0.0
image (semantic),NFDIN,IWUCX,0,3.84,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,0.0
image (question),67XKW,67XKW,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (semantic),RJ9WR,FWG89,0,5.52,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,0.0
image (question),5NA2F,49EWH,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.89,25,0.0
image (semantic),O5QQ8,O5QQ8,1,5.79,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.89,25,1.0
image (question),0HHGH,NQ52N,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.97,25,0.0
image (question),LOQTQ,LOQTQ,1,4.4,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,1.0
image (adversarial),M6X7P,NYJ0U,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.99,25,0.0
image (question),FO2HO,FO2HO,1,9.52,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.89,25,1.0
image (adversarial),L7W05,L7W05,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.94,25,1.0
image (adversarial),A5B4L,LCWL6,0,9.71,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,0.0
image (adversarial),QMGK2,QMGK2,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.83,25,1.0
image (semantic),E6OUW,9XFQ1,0,9.33,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.94,25,0.0
image (semantic),ENNGA,VG688,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.94,25,0.0
image (semantic),U595C,D78HW,0,9.42,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.83,25,0.0
image (question),K22M9,PG4GK,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.9,25,0.0
image (semantic),S6R6B,S6R6B,1,9.97,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.85,25,1.0
image (adversarial),MJ9XX,MJ9XX,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.87,25,1.0
image (semantic),9W0AN,9W0AN,1,7.87,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,1.0
image (question),JNNS9,JNNS9,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.88,25,1.0
image (question),7ZTRJ,7ZTRJ,1,7.66,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,1.0
image (adversarial),LSE33,LSE33,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.82,25,1.0
image (question),CUIDC,WFW5Q,0,9.09,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.94,25,0.0
image (question),52DEZ,GZDPY,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.84,25,0.0
image (question),HZNWG,GKY5C,0,7.24,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.96,25,0.0
image (adversarial),GAGHF,ZCGL9,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.91,25,0.0
image (semantic),FWVVS,FWVVS,1,5.41,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,1.0
image (adversarial),IA6YK,IA6YK,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.83,25,1.0
image (question),M0W3C,M0W3C,1,9.84,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,1.0
image (adversarial),YL16Z,YL16Z,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.92,25,1.0
image (semantic),0LM3N,0LM3N,1,9.99,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,1.0
image (semantic),GVBMQ,GVBMQ,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (adversarial),6QF1P,5FNP3,0,5.67,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.8,25,0.0
image (semantic),6F8HA,6F8HA,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (semantic),AOK8T,P4RXM,0,6.49,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.85,25,0.0
image (semantic),D8ZVF,OALFW,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.9,25,0.0
image (question),YPEEK,8CQPH,0,5.59,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.94,25,0.0
image (semantic),LI5L6,LI5L6,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),ULGEL,3IU6L,0,7.27,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.93,25,0.0
image (question),5NFLT,5NFLT,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (adversarial),Q12JF,AMWU2,0,4.56,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.97,25,0.0
image (adversarial),8RL5H,VE00H,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.96,25,0.0
image (semantic),2K2P3,2K2P3,1,5.07,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.8,25,1.0
image (semantic),BXPN1,BXPN1,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,1.0,25,1.0
image (question),TV1DJ,VLABL,0,4.99,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,0.0
image (semantic),RF3NA,RF3NA,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (question),L4BKU,L4BKU,1,8.02,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,1.0
image (adversarial),ECCFS,ECCFS,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),MMCMC,OF33Q,0,7.49,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,0.0
image (adversarial),E6JIX,ZRB18,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.91,25,0.0
image (question),8ELNW,YZTBV,0,6.45,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,0.0
image (adversarial),HUAZU,HUAZU,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.87,25,1.0
image (semantic),FAWWJ,FAWWJ,1,4.41,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.87,25,1.0
image (adversarial),VMLJE,VMLJE,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.86,25,1.0
image (adversarial),8Y1HE,HU03Y,0,9.12,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,0.0
image (semantic),53MBW,53MBW,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.91,25,1.0
image (semantic),AA34H,O17RV,0,6.21,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,0.0
image (adversarial),2Y7CD,2Y7CD,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.8,25,1.0
image (adversarial),487KN,487KN,1,5.58,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,1.0
image (semantic),X80NK,6KJ75,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.93,25,0.0
image (semantic),2H70Y,2H70Y,1,3.79,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.81,25,1.0
image (question),0Q5ZJ,0Q5ZJ,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.8,25,1.0
image (semantic),0FCYB,0FCYB,1,9.81,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.9,25,1.0
image (semantic),UBC1K,UBC1K,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.86,25,1.0
image (question),JY8GY,JY8GY,1,6.94,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.96,25,1.0
image (semantic),4UZ2Z,4UZ2Z,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.95,25,1.0
image (question),VQRFX,XOUN9,0,5.24,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.87,25,0.0
image (semantic),1FY6Y,1FY6Y,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.88,25,1.0
image (question),JE7XQ,JE7XQ,1,3.3,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,1.0
image (adversarial),S4WVT,U923O,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.97,25,0.0
image (semantic),359TS,FIZME,0,7.65,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.92,25,0.0
image (question),02TOX,02TOX,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.88,25,1.0
image (adversarial),O1DXQ,82R6Z,0,9.25,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.97,25,0.0
image (adversarial),L1KHW,L1KHW,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),BEG1C,BEG1C,1,5.5,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.85,25,1.0
image (question),OZKNH,WVY9R,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.89,25,0.0
image (semantic),MJR21,M8RAB,0,7.34,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,0.0
image (question),R6RTC,R6RTC,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.94,25,1.0
image (question),DNMVQ,HOAE5,0,8.98,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,0.0
image (semantic),27PSQ,T0JES,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.94,25,0.0
image (question),GQ4BV,GQ4BV,1,8.86,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.89,25,1.0
image (semantic),HRA13,HRA13,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.98,25,1.0
image (question),GMY4I,FE9VA,0,3.81,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.89,25,0.0
image (question),R2PZ6,R2PZ6,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.87,25,1.0
image (question),RKUPC,RKUPC,1,5.81,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.85,25,1.0
image (question),765EF,765EF,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.91,25,1.0
image (question),XTUR8,XTUR8,1,6.92,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.93,25,1.0
image (adversarial),IFEZA,IFEZA,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.81,25,1.0
image (semantic),XVA5E,RRDNW,0,4.32,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,0.0
image (adversarial),T2FES,T2FES,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.97,25,1.0
image (adversarial),9CFWO,1BLOG,0,5.84,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.93,25,0.0
image (semantic),0NQ4I,0NQ4I,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.98,25,1.0
image (semantic),25X1F,VPUZ1,0,3.53,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.92,25,0.0
image (semantic),1BJKX,1BJKX,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,1.0,25,1.0
image (question),TLL8S,YV2EM,0,6.92,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,0.0
image (semantic),Y9TWC,VI7LI,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.93,25,0.0
image (question),G9GMY,G9GMY,1,7.61,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,1.0
image (semantic),16F1K,THQSE,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.94,25,0.0
image (question),0KIVW,OZ7QM,0,5.62,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.87,25,0.0
image (adversarial),JCENT,JCENT,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.88,25,1.0
image (question),77Q9V,77Q9V,1,4.86,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,1.0
image (adversarial),9WRDP,9WRDP,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.86,25,1.0
image (semantic),N2B4J,N2B4J,1,3.67,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,1.0
image (question),0PBXC,KIHV1,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.82,25,0.0
image (adversarial),7MIAV,HW8D0,0,8.78,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,0.0
image (semantic),9JRD4,9JRD4,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.84,25,1.0
image (question),67KAY,I4OPF,0,6.12,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.89,25,0.0
image (question),541A1,541A1,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.84,25,1.0
image (question),2SLRW,2SLRW,1,4.01,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.97,25,1.0
image (semantic),C4YGO,C4YGO,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.84,25,1.0
image (question),IKIVQ,IKIVQ,1,7.88,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.8,25,1.0
image (question),Q2NMN,Q2NMN,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.9,25,1.0
image (adversarial),PPMJ6,PPMJ6,1,8.98,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.85,25,1.0
image (adversarial),XV349,XV349,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.87,25,1.0
image (semantic),6DZBC,6DZBC,1,3.99,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),P5GOF,P5GOF,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.81,25,1.0
image (semantic),U2550,I3HZC,0,9.26,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,0.0
image (question),D3GEQ,D3GEQ,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.95,25,1.0
image (adversarial),TG2LG,OGQ4I,0,9.26,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.85,25,0.0
image (question),VN2QQ,VN2QQ,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.94,25,1.0
image (semantic),X1CNA,TOS87,0,5.77,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.89,25,0.0
image (semantic),MVZ01,MVZ01,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.9,25,1.0
image (adversarial),4EBC9,NNLHA,0,5.89,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.97,25,0.0
image (question),PWF52,OF66J,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.95,25,0.0
image (adversarial),OZNHE,7KBQN,0,9.28,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,0.0
image (semantic),XPVMS,XPVMS,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.9,25,1.0
image (question),LLSAD,LLSAD,1,3.17,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,1.0
image (question),HSAO2,HSAO2,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (question),N2V51,N2V51,1,8.46,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.89,25,1.0
image (question),0UC87,0WF1H,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.88,25,0.0
image (semantic),WJHBA,3FTJ6,0,5.92,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.83,25,0.0
image (semantic),AC4JR,FYEY3,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.81,25,0.0
image (question),M0NQ8,LXSY4,0,8.7,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.92,25,0.0
image (semantic),VY32I,VY32I,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.96,25,1.0
image (semantic),LSR0O,3T4H8,0,4.8,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,0.0
image (semantic),QFDTN,QFDTN,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.95,25,1.0
image (adversarial),KIW8X,KIW8X,1,8.71,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,1.0
image (semantic),FRB7E,OHPII,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.85,25,0.0
image (adversarial),2MVV4,TRD83,0,3.06,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.82,25,0.0
image (semantic),X9AGE,7ZXDF,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,1.0,25,0.0
image (adversarial),LD9CB,3RJK4,0,9.28,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.8,25,0.0
image (question),CWEQ4,CWEQ4,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.83,25,1.0
image (semantic),RIKOM,SKZO3,0,5.51,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.83,25,0.0
image (adversarial),I9LLI,I9LLI,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.83,25,1.0
image (semantic),C5F9E,UZPEX,0,7.81,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.94,25,0.0
image (adversarial),7TV7H,7TV7H,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.89,25,1.0
image (semantic),OMB42,OMB42,1,9.77,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,1.0
image (question),25Q30,25Q30,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.94,25,1.0
image (semantic),6UZA2,6UZA2,1,9.13,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),MBFSR,P1WZ2,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.86,25,0.0
image (semantic),NAR3S,0JOTV,0,9.0,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.84,25,0.0
image (question),7H10B,7H10B,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),T1BLO,76VIL,0,9.15,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.93,25,0.0
image (question),VQKXB,VQKXB,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.85,25,1.0
image (semantic),JTB8Q,JTB8Q,1,3.53,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,1.0
image (question),2T67A,XLVB9,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.97,25,0.0
image (question),HXKEI,XAPLI,0,4.24,0.0,HUMAN_AGENT,G3_Human_Expert,5,1.0,25,0.0
image (semantic),RD70G,RD70G,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.86,25,1.0
image (question),6HFD7,CFE78,0,7.47,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,0.0
image (semantic),C11JG,C11JG,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.95,25,1.0
image (adversarial),12QEY,12QEY,1,3.64,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,1.0
image (adversarial),G3TJA,FMSYG,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.98,25,0.0
image (adversarial),91MMO,OGWRV,0,8.43,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,0.0
image (question),Z9047,NXHBQ,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.96,25,0.0
image (adversarial),AM97X,D4VUE,0,9.03,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,0.0
image (adversarial),ER90M,WITPB,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.92,25,0.0
image (adversarial),D7X9Z,D7X9Z,1,8.95,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.96,25,1.0
image (adversarial),99NR0,LZ57V,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.88,25,0.0
image (adversarial),4NDJM,CBL11,0,7.08,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.98,25,0.0
image (question),6CZ75,DO7L5,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.91,25,0.0
image (adversarial),DL0ED,DL0ED,1,6.34,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.99,25,1.0
image (adversarial),QNTJV,QNTJV,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.91,25,1.0
image (adversarial),GXU5W,03YIO,0,3.89,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.8,25,0.0
image (adversarial),Y5U04,Y5U04,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.9,25,1.0
image (question),HYGTM,HYGTM,1,7.05,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.88,25,1.0
image (adversarial),JW6ZJ,OGJEG,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.92,25,0.0
image (question),XEYEB,XEYEB,1,3.51,1.0,HUMAN_AGENT,G3_Human_Expert,5,1.0,25,1.0
image (adversarial),O8JEA,ADHF0,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.84,25,0.0
image (semantic),25LOX,FOGX8,0,9.0,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.94,25,0.0
image (adversarial),IRJBA,40SHD,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.89,25,0.0
image (adversarial),KKG1R,XQYJR,0,5.43,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.95,25,0.0
image (semantic),OFH6A,OFH6A,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.85,25,1.0
image (semantic),9TXFJ,X20AU,0,4.9,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.87,25,0.0
image (question),5IK31,U77W9,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.93,25,0.0
image (adversarial),A8LYT,0ZPZJ,0,4.31,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,0.0
image (semantic),HO4VU,HO4VU,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.82,25,1.0
image (semantic),6L4M1,6L4M1,1,9.7,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.91,25,1.0
image (semantic),ACUEO,ACUEO,1,0,1.0,SUCCESS_MLLM,G3_Human_Expert,5,0.81,25,1.0
image (question),9CY9P,9CY9P,1,5.6,1.0,HUMAN_AGENT,G3_Human_Expert,5,0.83,25,1.0
image (semantic),BAVEK,D7WDJ,0,0,0.0,FAILURE_MLLM,G3_Human_Expert,5,0.92,25,0.0
image (adversarial),V07IR,A43HO,0,7.87,0.0,HUMAN_AGENT,G3_Human_Expert,5,0.86,25,0.0
